1,2,14.241,7.1206,3,5,2,3,3,2,2,3,4,4
1,3,5.5351,2.7676,3,4,5,2,3,5,1,2,4,5
1,4,18.078,9.0388,1,5,4,1,3,4,3,2,5,3
1,5,17.052,8.526,2,1,5,2,4,5,1,4,3,2
1,7,7.8322,3.9161,4,4,3,3,2,4,4,4,3,3
1,13,5.9004,2.9502,2,3,2,3,3,2,3,3,3,5
2,3,11.878,5.9388,1,2,3,3,3,2,3,1,5,2
2,13,3.1969,1.5984,3,3,2,4,4,2,3,1,3,1
2,19,8.6982,4.3491,2,2,4,4,3,4,5,2,4,4
2,20,3.8459,1.9229,1,4,1,3,1,3,5,2,3,5
3,4,6.7139,3.357,4,1,2,2,3,2,3,4,2,3
3,7,4.9243,2.4621,2,3,5,4,3,3,3,1,4,2
3,8,6.6496,3.3248,2,2,3,3,4,4,2,2,2,3
3,9,6.5246,3.2623,2,3,5,5,1,4,5,2,3,3
3,10,5.979,2.9895,4,3,2,3,3,3,4,1,1,5
4,5,5.8405,2.9202,1,1,3,2,3,3,2,4,2,4
4,10,2.7949,1.3974,3,5,2,2,3,2,1,3,5,4
5,6,2.0545,1.0272,2,3,3,4,5,2,5,3,5,4
6,11,2.9287,1.4644,2,3,4,2,3,1,1,3,4,1
6,12,4.529,2.2645,4,5,5,3,2,2,3,4,4,3
7,8,3.2164,1.6082,5,1,4,3,2,5,2,4,2,4
7,13,2.8279,1.4139,5,4,3,3,4,5,3,1,5,2
8,9,0.66202,0.33101,3,2,3,2,1,3,4,4,1,2
8,14,2.4701,1.2351,3,3,2,3,1,3,5,5,3,1
9,10,3.9496,1.9748,5,3,4,4,5,3,2,3,4,4
9,11,14.116,7.0582,3,3,2,4,3,2,4,5,3,4
9,15,2.7651,1.3826,2,5,2,4,4,2,4,4,4,4
9,16,6.7173,3.3586,4,3,3,2,1,2,3,2,3,4
10,11,8.2052,4.1026,1,3,2,3,5,4,4,5,2,1
11,12,2.7478,1.3739,2,1,4,1,4,2,3,4,3,5
