1,2,4.706,2.353,3,5
1,3,2.6023,1.3011,3,5
2,1,9.1892,4.5946,4,4
2,6,5.272,2.636,3,4
3,1,2.4615,1.2307,3,3
3,4,2.5842,1.2921,3,1
3,12,4.6147,2.3073,3,2
4,3,5.5938,2.7969,4,4
4,5,2.2641,1.1321,4,2
4,11,1.8879,0.94396,4,4
5,4,1.6317,0.81585,4,1
5,6,6.6821,3.341,1,4
5,9,6.2588,3.1294,2,3
6,2,6.0386,3.0193,2,4
6,5,3.2305,1.6153,2,5
6,8,1.9876,0.9938,5,4
7,8,2.8094,1.4047,4,2
7,18,1.7084,0.85418,2,5
8,6,1.7647,0.88233,2,5
8,7,3.8141,1.9071,3,5
8,9,12.147,6.0737,1,4
8,16,4.6037,2.3019,4,4
9,5,2.2148,1.1074,1,3
9,8,13.439,6.7195,4,4
9,10,1.7889,0.89444,1,4
10,9,4.3457,2.1728,1,3
10,11,4.6421,2.321,1,2
10,15,5.1616,2.5808,2,3
10,16,0.90166,0.45083,4,5
10,17,5.885,2.9425,3,4
11,4,6.8347,3.4174,3,2
11,10,6.423,3.2115,3,3
11,12,6.5271,3.2635,1,3
11,14,3.4302,1.7151,2,3
12,3,3.8683,1.9342,4,4
12,11,4.936,2.468,2,1
12,13,2.7202,1.3601,4,4
13,12,1.6518,0.82589,4,1
13,24,6.3444,3.1722,5,5
14,11,4.9669,2.4834,4,3
14,15,2.554,1.277,5,1
14,23,3.3011,1.6505,4,2
15,10,11.014,5.5068,2,2
15,14,4.8527,2.4263,3,4
15,19,4.074,2.037,4,4
15,22,5.9822,2.9911,5,3
16,8,2.9175,1.4588,2,3
16,10,1.194,0.59699,4,1
16,17,2.1537,1.0768,2,3
16,18,2.7561,1.378,2,2
17,10,11.367,5.6837,2,3
17,16,2.1708,1.0854,4,2
17,19,1.2997,0.64983,5,3
18,7,3.1003,1.5502,4,2
18,16,1.694,0.84698,1,2
18,20,4.8683,2.4341,2,2
19,15,4.2122,2.1061,3,2
19,17,2.0252,1.0126,5,3
19,20,3.1763,1.5882,5,4
20,18,2.6668,1.3334,3,5
20,19,5.4118,2.7059,3,3
20,21,5.1354,2.5677,5,2
20,22,3.8984,1.9492,3,3
21,20,2.6681,1.3341,2,1
21,22,2.2667,1.1334,4,2
21,24,2.0042,1.0021,2,2
22,15,2.8161,1.4081,3,4
22,20,4.6992,2.3496,1,2
22,21,2.9956,1.4978,5,4
22,23,2.6785,1.3392,3,4
23,14,4.1023,2.0512,4,4
23,22,3.522,1.761,3,3
23,24,3.0415,1.5208,1,1
24,13,3.9546,1.9773,2,2
24,21,2.1489,1.0744,2,1
24,23,1.7452,0.8726,4,1
