1,3,12.35,8.05,0.6,0.73,0.75,0.42,1.19,0.44,0.74,0.48,0.54,1.37
3,1,13.14,8.03,1.04,0.89,0.08,0.53,0.81,0.3,1.33,0.22,0.41,0.13
1,7,18.27,8.03,0.34,0.44,1.04,0.56,2.01,1.32,2.87,2.23,0.61,1.35
7,1,18.47,7.93,0.86,1,0.4,0.52,1.06,0.94,1.2,1.19,0.44,0.81
1,9,2.91,8.73,0.71,0.6,0.34,0.26,0.85,0.54,0.54,0.34,0.84,2.28
9,1,2.69,8.73,0.24,0.88,0.79,1.42,0.24,0.08,0.89,1.82,0.86,1.91
2,3,2.21,1.94,0.14,0.79,0.43,0.13,1.42,1.7,0.79,1.04,0.4,0.41
3,2,2.2,1.99,0.22,1.06,0.86,0.76,0.42,0.28,0.25,1.31,0.44,0.63
3,6,14.91,3.79,0.4,0.87,1.06,1.88,0.24,0.24,0.22,0.39,0.45,0.41
6,3,15,3.72,0.24,1.81,0.6,0.42,0.79,1.27,1.03,4.39,0.68,0.4
3,7,2.18,5.8,0.59,0.43,1.2,0.95,1.91,0.81,3.25,0.4,0.85,4.31
7,3,2.47,5.87,0.95,0.25,0.95,0.89,0.61,1.41,0.86,0.42,1.4,0.74
4,6,3.49,1.75,1.02,1.7,0.34,0.81,0.42,0.71,0.44,1.19,1.14,0.4
6,4,2.58,1.75,0.54,0.25,1.44,0.39,0.56,1.02,0.89,1.23,0.24,0.13
4,8,16.7,3.13,0.76,0.88,0.76,0.24,0.43,0.4,0.13,0.14,0.32,1.05
8,4,15.56,3.21,0.55,1.01,1.37,0.48,0.94,0.44,0.84,0.41,0.75,0.53
5,10,9.93,5.22,1.14,0.12,0.91,0.39,0.9,0.25,0.94,1.02,0.7,0.89
10,5,9.89,5.28,1.69,0.3,0.13,0.53,1.69,1.23,0.16,0.57,3.12,0.57
5,11,2.34,5.84,1.86,0.84,2.33,0.62,0.39,0.68,1.31,1.49,0.91,1.88
