1,3
3,1
1,7
7,1
1,9
9,1
2,3
3,2
3,6
6,3
3,7
7,3
4,6
6,4
4,8
8,4
5,10
10,5
5,11
11,5
6,8
8,6
6,13
13,6
6,17
17,6
7,9
9,7
7,13
13,7
8,11
11,8
8,16
16,8
9,12
12,9
9,13
13,9
10,11
11,10
10,18
18,10
10,20
20,10
11,19
19,11
13,14
14,13
13,15
15,13
14,17
17,14
14,22
22,14
16,17
17,16
16,19
19,16
16,22
22,16
17,22
22,17
18,19
19,18
18,21
21,18
19,22
22,19
20,21
21,20
20,30
30,20
20,58
58,20
21,22
22,21
21,23
23,21
22,23
23,22
22,25
25,22
22,28
28,22
22,29
29,22
22,40
40,22
23,24
24,23
23,31
31,23
24,25
25,24
24,26
26,24
24,33
33,24
25,26
26,25
26,27
27,26
26,28
28,26
27,28
28,27
27,33
33,27
27,35
35,27
28,37
37,28
29,41
41,29
29,49
49,29
30,31
31,30
30,60
60,30
31,32
32,31
31,60
60,31
32,33
33,32
32,34
34,32
32,60
60,32
33,34
34,33
34,35
35,34
34,60
60,34
35,36
36,35
35,71
71,35
36,43
43,36
36,44
44,36
36,71
71,36
37,38
38,37
37,42
42,37
38,39
39,38
38,42
42,38
39,40
40,39
39,48
48,39
40,41
41,40
40,48
48,40
41,49
49,41
42,43
43,42
42,45
45,42
43,44
44,43
43,45
45,43
44,46
46,44
44,54
54,44
45,46
46,45
45,47
47,45
46,47
47,46
46,54
54,46
47,48
48,47
47,74
74,47
48,49
49,48
48,51
51,48
48,52
52,48
48,53
53,48
48,54
54,48
48,74
74,48
49,50
50,49
49,73
73,49
50,51
51,50
50,73
73,50
51,52
52,51
52,53
53,52
53,54
54,53
55,57
57,55
56,57
57,56
57,58
58,57
57,59
59,57
58,59
59,58
59,60
60,59
59,72
72,59
60,61
61,60
60,63
63,60
60,65
65,60
60,67
67,60
60,69
69,60
60,71
71,60
60,72
72,60
62,63
63,62
63,65
65,63
64,65
65,64
65,66
66,65
67,68
68,67
67,69
69,67
69,70
70,69
69,71
71,69
