1,3,12.35,8.05,3.25,2.29,0.2,2.02,1.87
3,1,13.14,8.03,1.25,1.42,0.13,0.22,0.43
1,7,18.27,8.03,0.24,0.26,0.25,0.89,0.29
7,1,18.47,7.93,0.71,0.29,1.11,0.18,1.88
1,9,2.91,8.73,1,0.16,0.28,1.14,0.89
9,1,2.69,8.73,0.76,2.01,0.26,0.4,1.06
2,3,2.21,1.94,0.13,0.33,0.55,1.87,0.14
3,2,2.2,1.99,2.29,0.25,0.77,0.25,0.24
3,6,14.91,3.79,0.16,0.39,1.81,0.11,1.81
6,3,15,3.72,1.06,1.2,0.63,3.12,0.56
3,7,2.18,5.8,0.54,1.49,0.44,1.33,1.06
7,3,2.47,5.87,0.65,0.45,1.7,1.44,0.12
4,6,3.49,1.75,0.12,0.84,1.05,0.6,0.61
6,4,2.58,1.75,0.77,1.25,0.48,0.61,0.18
4,8,16.7,3.13,0.84,2.32,1.25,0.24,2.23
8,4,15.56,3.21,1.14,0.14,0.94,0.94,1.78
5,10,9.93,5.22,0.25,0.77,0.34,0.25,0.13
10,5,9.89,5.28,0.48,1.78,0.65,1.22,0.16
5,11,2.34,5.84,0.14,1.27,0.56,2.87,0.53
11,5,2.21,5.79,0.18,0.86,0.12,0.46,0.59
6,8,15,1.48,0.3,4.39,0.16,0.54,0.24
8,6,15,1.32,1.23,0.12,1.19,0.28,1.47
6,13,5.58,5.83,0.34,0.13,0.21,0.53,0.6
13,6,4.59,5.76,0.51,1.11,0.43,1.02,1.82
6,17,3.43,6.14,1.22,1.02,0.3,0.76,1
17,6,3.11,6.16,0.49,1.19,0.18,0.68,0.94
7,9,2.07,2.04,1.81,0.86,1.02,1.2,0.88
9,7,2.06,2.04,0.46,0.56,1.06,0.55,0.3
7,13,14.8,3.24,1.23,0.34,0.34,0.69,0.25
13,7,20,3.43,0.54,0.96,0.35,0.38,0.89
8,11,15,2.96,0.65,0.69,2.32,1.47,0.89
11,8,15,2.97,0.92,0.41,1.37,0.39,1.31
8,16,16.1,6.32,0.58,0.73,0.4,0.89,0.63
16,8,11.11,6.27,1.29,0.24,1.2,0.88,0.35
9,12,2.43,2.61,0.14,1.48,0.49,0.25,1.4
12,9,2.43,2.7,1.33,2.87,0.4,0.63,0.25
9,13,2.19,1.49,1.88,2.33,0.39,0.79,1.86
13,9,2.19,1.52,1.31,0.89,1.42,0.41,0.34
10,11,20,0.92,2.01,1.01,0.53,0.14,1.29
11,10,20,0.9,0.56,0.4,4.31,0.41,0.26
10,18,9.75,5.26,0.54,0.42,2.23,0.16,0.53
18,10,7.28,5.24,0.25,0.65,0.41,1.02,1.35
10,20,14.3,5.88,0.3,0.32,0.95,1.27,0.4
20,10,15.02,5.89,0.42,0.25,0.87,1.35,0.25
11,19,2.81,6.26,0.48,0.18,1.41,1.42,0.85
19,11,4.04,6.11,0.33,0.79,1.23,0.13,1.02
13,14,10.99,4.14,1.27,0.44,3.25,0.94,0.77
14,13,10.8,3.76,0.76,0.27,0.45,1.37,0.54
13,15,4.78,4.21,2.87,0.86,1.18,0.13,0.63
15,13,7.16,4.23,0.14,0.14,0.11,1.19,0.39
14,17,14.87,3.38,0.94,0.68,0.68,0.65,0.95
17,14,12.26,3.45,0.22,0.28,0.76,0.54,0.42
14,22,7.1,4.28,0.49,1.3,0.51,1.03,0.21
22,14,7.24,4.18,0.52,0.09,0.54,0.52,0.48
16,17,15.8,0.67,0.53,0.44,0.41,0.33,0.42
17,16,10.52,0.68,0.74,0.38,0.12,0.41,0.73
16,19,16.76,2.29,0.53,1.35,1.18,1.81,2.01
19,16,17.59,2.23,0.41,0.75,0.71,0.3,0.51
16,22,11.17,1.68,0.52,0.25,0.39,0.39,0.53
22,16,19.07,1.71,0.54,0.54,0.16,0.76,0.54
17,22,4.72,2.66,0.89,0.13,0.92,0.59,0.54
22,17,4.71,2.66,1.73,0.83,0.57,0.84,4.39
18,19,15.48,1.17,0.44,1.22,0.18,0.42,0.49
19,18,15.73,1.77,0.27,2.02,0.13,0.56,0.2
18,21,20,2.73,0.86,1.81,0.9,0.52,1.18
21,18,13.62,2.73,0.94,0.57,2.92,1.01,0.68
19,22,5.06,2.91,1.16,0.41,0.13,1.02,2.92
22,19,4.02,2.9,1.37,0.48,1.19,0.18,0.41
20,21,6.61,8.23,2.88,0.85,0.83,1.19,1.19
21,20,6.04,7.72,1.14,0.61,1.4,1.18,2.87
20,30,15,6.64,1.03,0.24,0.89,0.26,0.6
30,20,15,6.65,0.76,2.31,1.81,2.32,0.68
20,58,6.2,6.13,0.29,0.51,4.39,0.53,0.86
58,20,6.58,6.28,0.39,0.88,0.53,0.94,0.13
21,22,11.23,3.4,0.81,1.03,0.27,0.28,1.75
22,21,11.24,3.36,0.28,1.33,1.02,0.54,2.85
21,23,20,2.26,0.13,0.24,0.56,0.44,0.23
23,21,20,2.27,0.55,0.6,0.52,0.11,0.92
22,23,2.19,2.29,0.65,0.53,0.89,0.85,0.2
23,22,2.4,2.25,0.95,1.06,0.88,0.25,0.42
22,25,7.13,4.45,1.41,0.47,1.4,0.62,0.13
25,22,3.77,4.15,1.86,0.71,0.46,0.23,0.4
22,28,5.2,4.3,0.43,0.26,1,0.43,1.22
28,22,5.26,4.3,0.41,2.23,0.62,0.34,3.25
22,29,14.7,2.93,0.24,0.53,0.24,1.19,0.89
29,22,3.56,2.83,1.02,0.34,0.29,1.73,0.33
22,40,5.53,6.11,1.32,0.24,0.24,1.88,2.02
40,22,4.16,5.96,0.45,1.43,0.33,0.59,0.74
23,24,20,1.22,0.2,0.14,0.1,1.16,0.3
24,23,20,1.2,0.48,0.56,0.76,0.29,0.62
23,31,2.85,8.33,1.09,1.81,0.54,0.43,0.88
31,23,2.26,8.4,0.35,0.11,1.87,0.43,0.34
24,25,11.25,0.84,0.4,0.74,2.01,0.45,0.96
25,24,9,0.84,0.54,1.47,1.4,3.25,1.14
24,26,19.95,0.82,1.22,0.95,0.81,4.31,0.65
26,24,20,0.53,0.94,0.13,0.4,0.13,0.13
24,33,8.9,5.99,1.06,0.46,1.28,0.4,1.02
33,24,13.89,5.97,2.28,1.31,0.23,0.89,1.41
25,26,4.38,0.96,0.18,0.55,0.14,2.88,0.11
26,25,5.93,0.91,1.02,0.39,1.01,2.01,0.51
26,27,3.29,0.78,1.42,0.43,1.29,0.47,0.77
27,26,2.46,0.79,1.01,1.19,0.58,0.09,0.4
26,28,19.33,0.9,1.48,0.35,0.57,1.04,0.19
28,26,20.83,0.77,0.44,3.25,1.19,0.39,0.68
27,28,5.05,1.19,0.62,0.9,0.47,1.41,0.18
28,27,4.77,1.15,0.41,0.13,0.85,0.57,0.12
27,33,6.64,5.21,0.08,0.16,0.94,0.13,1.01
33,27,6.97,5.3,0.45,0.89,0.6,1.28,0.41
27,35,2.85,8.5,0.18,0.76,1.35,0.26,2.29
35,27,3.47,8.5,0.79,0.68,2.87,0.44,0.18
28,37,16.15,3.87,0.88,0.65,0.41,0.65,1.19
37,28,17.8,4.01,3.23,0.33,0.43,0.74,1.05
29,41,10.67,2.46,1.11,0.55,0.44,0.88,1.69
41,29,15.76,2.62,0.69,0.53,2.88,0.57,0.9
29,49,2.65,16.19,1.4,0.41,1.31,4.39,0.79
49,29,2.79,16.15,0.46,1.73,0.41,0.4,0.24
30,31,15,1.16,0.13,0.63,3.25,0.93,0.55
31,30,15,1.13,1.18,1.31,0.86,0.6,1.2
30,60,12.21,4,0.54,0.81,2.29,0.41,1.33
60,30,12.01,4,0.83,0.42,0.88,0.9,0.54
31,32,15,2.12,2.31,1.14,0.24,0.48,0.86
32,31,13.65,2.12,0.73,1.19,0.19,0.76,0.62
31,60,2.41,3.36,0.33,0.13,0.56,0.75,0.49
60,31,2.64,3.37,0.68,1.91,0.14,1.75,2.32
32,33,6.06,2.49,2.33,0.54,0.13,0.54,0.53
33,32,6.55,2.48,1.28,0.4,1.33,1.81,1.4
32,34,7.47,0.9,0.23,0.43,0.41,1.06,0.84
34,32,11.98,0.94,0.85,0.49,0.25,1.49,1.2
32,60,6.5,2.76,1.2,0.13,0.2,0.41,0.16
60,32,6.54,2.72,1.81,0.4,1.06,0.65,0.83
33,34,13.61,2.48,0.13,0.76,1.23,0.49,1.28
34,33,13.5,2.45,0.87,1.23,1.14,3.23,0.7
34,35,13.68,4.67,0.4,0.21,1.78,1.91,0.58
35,34,15,4.61,0.34,0.34,0.48,1.32,0.76
34,60,14.75,5.04,1.43,2.85,0.43,0.56,1.4
60,34,14.46,7.4,0.13,1.06,1.04,0.51,0.28
35,36,13.19,3.29,0.96,0.25,0.62,0.83,0.54
36,35,15,3.43,1.2,1.18,0.34,0.12,0.08
35,71,4.89,1.83,1.47,0.34,0.33,1.25,0.23
71,35,3.94,1.83,0.62,0.56,0.2,0.73,0.28
36,43,2.19,4.28,0.1,0.23,0.51,1.06,0.34
43,36,2.19,4.24,0.33,1.09,1.2,0.13,1.16
36,44,15,4.07,0.32,0.6,0.52,0.86,0.81
44,36,14.67,3.85,1.78,1.82,2.31,2.29,0.1
36,71,2.65,3.67,0.41,0.91,0.09,0.4,0.32
71,36,2.54,3.67,3.12,0.13,1.69,1.18,1.14
37,38,14.54,1.59,2.85,0.88,0.69,3.25,0.92
38,37,14.43,1.76,1.2,0.2,0.54,1.11,0.34
37,42,4.54,3.82,2.02,1.75,0.13,0.18,1.18
42,37,4.52,3.86,0.89,0.24,0.91,0.33,0.44
38,39,14.33,1.58,0.53,1.18,0.62,0.63,0.71
39,38,16.06,1.55,0.65,0.62,0.18,1.07,4.31
38,42,15,3.08,0.56,0.54,0.25,1.86,0.13
42,38,14.37,3.48,0.13,1.2,0.6,0.7,1.42
39,40,18.83,0.65,0.43,1.02,0.75,0.2,0.13
40,39,20.88,0.65,1.19,0.94,0.42,1.31,0.47
39,48,10.93,8.77,1.75,0.93,0.4,1.43,0.46
48,39,13.08,9.07,0.47,0.33,0.92,0.86,0.11
40,41,15.25,1.74,0.4,0.72,0.94,0.85,0.57
41,40,15.01,1.61,4.31,0.44,0.42,0.12,0.41
40,48,2.51,10.95,0.25,0.52,1.16,0.54,1.49
48,40,4.22,10.97,0.21,1.28,0.44,1.4,1.25
41,49,5.47,16.41,0.86,1.41,0.89,1.7,0.24
49,41,6.15,16.46,3.25,0.94,0.94,0.2,0.59
42,43,3.8,1.98,0.92,0.94,0.85,0.33,0.87
43,42,4.8,1.99,0.13,0.87,0.76,1,1.04
42,45,15,3.03,0.57,1.69,1.22,0.94,0.14
45,42,15,3.13,0.85,0.52,0.38,1.2,0.65
43,44,4.38,1.75,1.4,0.43,1.49,0.24,0.91
44,43,4.41,1.78,1.05,1.7,0.63,0.89,0.95
43,45,4.57,2.04,0.72,0.46,0.28,0.33,2.33
45,43,3.03,2.07,0.42,0.94,0.32,0.19,0.48
44,46,15,1.62,0.86,0.79,0.39,2.33,1.07
46,44,15,1.62,0.57,1.87,0.59,1.4,0.13
44,54,4.36,5.04,0.13,0.48,0.53,0.94,0.38
54,44,4.65,5.01,1.91,1.16,0.93,0.35,0.85
45,46,15,0.94,0.91,0.76,2.28,2.85,1.7
46,45,11.92,0.98,0.19,0.85,0.96,0.13,0.27
45,47,6.16,1.71,0.68,4.31,0.65,1.82,0.44
47,45,5.66,1.84,2.32,0.3,1.43,0.62,2.31
46,47,15,1.43,1.19,1.32,3.12,0.77,0.48
